genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.14		VBIEscCol309924_0014		Glutathione reductase (EC 1.8.1.7)	1.8.1.7	Glutathione-disulfide reductase	00480	Glutathione metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.26		VBIEscCol309924_0026		Flavin reductase (EC 1.5.1.30)	1.5.1.30	Flavin reductase (NADPH)	00740	Riboflavin metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.39		VBIEscCol309924_0039		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00250	Alanine, aspartate and glutamate metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.39		VBIEscCol309924_0039		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00410	beta-Alanine metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.39		VBIEscCol309924_0039		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00430	Taurine and hypotaurine metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.39		VBIEscCol309924_0039		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00650	Butanoate metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.42		VBIEscCol309924_0042		Trehalase (EC 3.2.1.28) @ Cytoplasmic trehalase (EC 3.2.1.28)	3.2.1.28	Alpha,alpha-trehalase	00500	Starch and sucrose metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.50		VBIEscCol309924_0050		2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	00030	Pentose phosphate pathway
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.50		VBIEscCol309924_0050		2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	00040	Pentose and glucuronate interconversions
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.56		VBIEscCol309924_0056		beta-1,4-glucanase (cellulase) (EC 3.2.1.4)	3.2.1.4	Cellulase	00500	Starch and sucrose metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.58		VBIEscCol309924_0058		Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)	2.4.1.12	Cellulose synthase (UDP-forming)	00500	Starch and sucrose metabolism
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.81		VBIEscCol309924_0081		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00231	Puromycin biosynthesis
