genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.1		VBIEscCol309924_0001		1	1125	-	1125		Inner membrane transport permease YhhJ	FIG00638119	PLF_561_00002101	PGF_00004231			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	source					1	142574	+	142574								
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.2		VBIEscCol309924_0002		1125	3860	-	2736		Ribosome-associated ATPase RbbA	FIG00001785	PLF_561_00000710	PGF_00008593			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.3		VBIEscCol309924_0003		3857	4924	-	1068		HlyD-like membrane fusion protein YhiI	FIG01056920	PLF_561_00002945	PGF_02746237			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.4		VBIEscCol309924_0004		4987	5100	-	114		hypothetical protein	FIG00638284	PLF_561_00003980	PGF_00213867			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.5		VBIEscCol309924_0005		5645	6709	+	1065		Inner membrane protein YhiM	FIG00638241	PLF_561_00002540	PGF_00128906			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.6		VBIEscCol309924_0006		6796	7989	-	1194		Uncharacterized protein YhiN	FIG01045177	PLF_561_00003893	PGF_00000939			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.7		VBIEscCol309924_0007		8221	9720	+	1500		Low-affinity inorganic phosphate transporter	FIG00002819	PLF_561_00000025	PGF_00017613			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.8		VBIEscCol309924_0008		9791	10072	-	282		Universal stress protein B	FIG00002192	PLF_561_00002450	PGF_00065937			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.9		VBIEscCol309924_0009		10517	10951	+	435		Universal stress protein A	FIG00002191	PLF_561_00002537	PGF_00065934			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.10		VBIEscCol309924_0010		11268	12737	+	1470		Di-tripeptide/H+ symporter DtpB	FIG00068256	PLF_561_00000959	PGF_00423022			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.11		VBIEscCol309924_0011		12786	13538	-	753		16S rRNA (guanine(1516)-N(2))-methyltransferase (EC 2.1.1.242)	FIG00638284	PLF_561_00002976	PGF_00008510		2.1.1.242|16S rRNA (guanine(1516)-N(2))-methyltransferase	
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.12		VBIEscCol309924_0012		13546	15588	-	2043		Oligopeptidase A (EC 3.4.24.70)	FIG00002216	PLF_561_00002836	PGF_00026904		3.4.24.70|Oligopeptidase A	
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.13		VBIEscCol309924_0013		15791	16633	+	843		23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)	FIG00002035	PLF_561_00001940	PGF_04557396		2.1.1.266|23S rRNA (adenine(2030)-N(6))-methyltransferase	
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.14		VBIEscCol309924_0014		16705	18057	+	1353		Glutathione reductase (EC 1.8.1.7)	FIG00000841	PLF_561_00000331	PGF_08199696	GO:0004362|glutathione-disulfide reductase activity	1.8.1.7|Glutathione-disulfide reductase	00480|Glutathione metabolism
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.15		VBIEscCol309924_0015		18111	18239	-	129		hypothetical protein	FIG00638284	PLF_561_00000430	PGF_12665382			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.16		VBIEscCol309924_0016		18529	18954	+	426		Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family	FIG00000770	PLF_561_00000321	PGF_08060212	GO:0008794|arsenate reductase (glutaredoxin) activity	1.20.4.1|Arsenate reductase (glutaredoxin)	
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.17		VBIEscCol309924_0017		19056	19172	+	117		hypothetical protein	FIG00640192	PLF_561_00005221	PGF_02980137			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.18		VBIEscCol309924_0018		20137	20703	+	567		Starvation lipoprotein Slp	FIG00007459	PLF_561_00002601	PGF_00054153			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.19		VBIEscCol309924_0019		20883	21386	+	504		Transcriptional regulator DctR, LuxR family	FIG00003845	PLF_561_00002873	PGF_00010716			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.20		VBIEscCol309924_0020		21443	22471	-	1029		Hemin transport protein HmuS	FIG00009338	PLF_561_00004193	PGF_00011424			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.21		VBIEscCol309924_0021		22520	24502	-	1983		TonB-dependent hemin, ferrichrome receptor	FIG00001878	PLF_561_00004190	PGF_09526797			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.22		VBIEscCol309924_0022		24871	25032	+	162		hypothetical protein	FIG00638893	PLF_561_00005231	PGF_01645366			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.23		VBIEscCol309924_0023		25267	26100	+	834		Periplasmic hemin-binding protein	FIG00001610	PLF_561_00004216	PGF_03326931			
562.2283	Escherichia coli GSK2023	AXOD01000001	PATRIC	CDS	fig|562.2283.peg.24		VBIEscCol309924_0024		26198	27457	+	1260		Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	FIG00132601	PLF_561_00004222	PGF_00047020			
