genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	source					1	4558660	+	4558660								
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.1				337	2799	+	2463		Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	FIG01290007	PLF_561_00000844	PGF_04992191	GO:0004072|aspartate kinase activity;GO:0004412|homoserine dehydrogenase activity	2.7.2.4|Aspartate kinase;1.1.1.3|Homoserine dehydrogenase	00260|Glycine, serine and threonine metabolism;00270|Cysteine and methionine metabolism;00300|Lysine biosynthesis
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.2				2801	3733	+	933		Homoserine kinase (EC 2.7.1.39)	FIG00000582	PLF_561_00003088	PGF_00012356	GO:0004413|homoserine kinase activity	2.7.1.39|Homoserine kinase	00260|Glycine, serine and threonine metabolism
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.3				3734	5020	+	1287		Threonine synthase (EC 4.2.3.1)	FIG00000134	PLF_561_00001305	PGF_03316046	GO:0004795|threonine synthase activity	4.2.3.1|Threonine synthase	00260|Glycine, serine and threonine metabolism;00750|Vitamin B6 metabolism
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.4				5310	5537	-	228		hypothetical protein	FIG00638851	PLF_561_00004602	PGF_01640515			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.5				5683	6459	-	777		UPF0246 protein YaaA	FIG00002158	PLF_561_00002041	PGF_00064270			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.6				6529	7911	-	1383		Putative alanine/glycine transport protein	FIG01308486	PLF_561_00000863	PGF_00040088			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.7				8238	9191	+	954		Transaldolase (EC 2.2.1.2)	FIG00000023	PLF_561_00002139	PGF_00057399	GO:0004801|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity	2.2.1.2|Transaldolase	00030|Pentose phosphate pathway
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.8				9306	9893	+	588		Molybdopterin adenylyltransferase (EC 2.7.7.75)	FIG00002951	PLF_561_00002926	PGF_00022507	GO:0061598|molybdopterin adenylyltransferase activity	2.7.7.75|Molybdopterin adenylyltransferase	
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.9				9928	10494	-	567		Succinate-acetate/proton symporter SatP	FIG00904540	PLF_561_00002858	PGF_00043742			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.10				10643	11356	-	714		UPF0174 protein YaaW	FIG00553873	PLF_561_00000690	PGF_00064226			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.11				11382	11786	-	405		UPF0412 protein YaaI	FIG00638536	PLF_561_00003145	PGF_00064366			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.12				12163	14079	+	1917		Chaperone protein DnaK	FIG00023369	PLF_561_00001255	PGF_10357457			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.13				14168	15298	+	1131		Chaperone protein DnaJ	FIG00000070	PLF_561_00001603	PGF_10301134	GO:0006457|protein folding;GO:0031072|heat shock protein binding;GO:0051082|unfolded protein binding		
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.14				15445	16557	+	1113		Transposase InsL for insertion sequence element IS186	FIG01306568	PLF_561_00000084	PGF_04599657			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.15				17489	18655	+	1167		Na+/H+ antiporter NhaA type	FIG00000831	PLF_561_00001015	PGF_06945838			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.16				18715	19620	+	906		Transcriptional activator NhaR	FIG00020327	PLF_561_00002235	PGF_00057513			
83333.84	Escherichia coli K-12 ER3413	CP009789	PATRIC	CDS	fig|83333.84.peg.17				19811	20314	-	504		IS1 protein InsB	FIG01306568	PLF_561_00000001	PGF_06495825			
