genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.6				Putative alanine/glycine transport protein	Transporter	TCDB	BLAT	P30143	Escherichia coli (strain K12)	the alanine or glycine:cation symporter (agcs) family.	2.A.25.1.10		100	96	100	1e-270
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.7				Transaldolase (EC 2.2.1.2)	Drug Target	DrugBank	BLAT	P0A872	Shigella flexneri	Nz-(Dicarboxymethyl)Lysine	Drug target		100	100	100	1e-178
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.7				Transaldolase (EC 2.2.1.2)	Human Homolog	Human	BLASTP	NP_006746.1	Homo sapiens				98	93	60	0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.9				Succinate-acetate/proton symporter SatP	Transporter	TCDB	BLAT	P0AC98	Escherichia coli (strain K12)	the acetate uptake transporter (acetr) family.	2.A.96.1.1	15919996;1630901;16738553;8400364;9278503	100	100	100	1e-105
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.12				Chaperone protein DnaK	Human Homolog	Human	BLASTP	NP_004125.3	Homo sapiens				97	91	60	0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.12				Chaperone protein DnaK	Transporter	TCDB	BLAT	P0A6Y8	Escherichia coli	the cation channel-forming heat shock protein-70 (hsp70) family.	1.A.33.1.2	10742174;1396676;1592823;16079137;1630901;16738553;1835085;18723842;2674651;3003084;3003085;6322174;7783627;8206983;8658133;9278503;9298646;9609686	100	100	100	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.12				Chaperone protein DnaK	Virulence Factor	Victors	BLAT	190151264	"Actinobacillus pleuropneumoniae serovar 7 str. AP76 "			10873489	92	92	81	1e-276
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.15				Na+/H+ antiporter NhaA type	Transporter	TCDB	BLAT	P13738	Escherichia coli	the nhaa na(+):h(+) antiporter (nhaa) family.	2.A.33.1.1	11258962;15919996;15988517;1630901;1645730;1657980;16738553;17635927;2839489;7592922;7737413;8381959;9278503	100	100	100	1e-218
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.20				Isoleucyl-tRNA synthetase (EC 6.1.1.5)	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic target in susceptible species	7929087				
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.20				Isoleucyl-tRNA synthetase (EC 6.1.1.5)	Drug Target	TTD	BLAT	TTDS00223					100	100	99	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.23				4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)	Drug Target	DrugBank	BLAT	P62623	Escherichia coli (strain K12)	Dimethylallyl Diphosphate;ISOPENTENYL PYROPHOSPHATE	Drug target		100	100	100	1e-178
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.25				4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	Drug Target	DrugBank	BLAT	P04036	Escherichia coli (strain K12)	3-Acetyl Pyridine Adenine Dinucleotide;Dipicolinic Acid	Drug target		100	100	100	1e-153
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.26				Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	Virulence Factor	PATRIC_VF	BLAT	Z0037	Escherichia coli O157:H7 str. EDL933		Virulence	8063392	100	100	100	1e-224
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.26				Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	Virulence Factor	Victors	BLAT	16128026	Escherichia coli str. K-12 substr. MG1655			8063392	100	100	100	1e-224
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.27				Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	Virulence Factor	PATRIC_VF	BLAT	Z0038	Escherichia coli O157:H7 str. EDL933		Virulence	8063392	100	100	99	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.27				Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	Virulence Factor	Victors	BLAT	16128027	Escherichia coli str. K-12 substr. MG1655			8063392	100	100	100	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.31				Crotonobetaine--CoA ligase @ Carnitine--CoA ligase	Transporter	TCDB	BLAT	P31552	Escherichia coli	the fatty acid transporter (fat) family.	4.C.1.1.6	11749953;12664169;15518548;1630901;16738553;7815937;9278503	100	100	100	1e-313
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.32				Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.21)	Drug Target	DrugBank	BLAT	P31572	Escherichia coli (strain K12)	"""Coenzyme A;O5'-(4-(3-{2-[2-((R)-3-Hydroxy-4-(Trimethylammonio)-1-Oxo-Butyl)Sulfanyl-Ethylcarbamoyl]-Ethylcarbamoyl}-(R)-3-Hydroxy-2,2-Dimethyl-Propyl)-1-Hydroxy-3-Oxido-1,3-Dioxo-2,4-Dioxa-1,3-Diphosphabut-1-Yl) 3'-Phospho-Adenosine"""	Drug target		100	100	100	1e-244
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.34				L-carnitine/gamma-butyrobetaine antiporter	Transporter	TCDB	BLAT	P31553	Escherichia coli	the betaine/carnitine/choline transporter (bcct) family.	2.A.15.2.1	12163501;12664169;15919996;1630901;16738553;7815937;9278503	100	100	100	1e-306
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.39				Putative metabolite transport protein YaaU	Transporter	TCDB	BLAT	P31679	Escherichia coli (strain K12)	the major facilitator superfamily (mfs).	2.A.1.1.114	1630901;16738553;9278503	100	100	100	1e-259
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.40				Glutathione-regulated potassium-efflux system ancillary protein KefF	Transporter	TCDB	BLAT	P0A754	Escherichia coli	the monovalent cation:proton antiporter-2 (cpa2) family.	2.A.37.1.1	11053405;1325937;15919996;1630901;16738553;2046548;6159575;9278503	100	100	100	1e-107
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.41				Glutathione-regulated potassium-efflux system protein KefC	Transporter	TCDB	BLAT	P03819	Escherichia coli	the monovalent cation:proton antiporter-2 (cpa2) family.	2.A.37.1.1	11053405;1325937;15919996;1630901;16738553;2046548;6159575;9278503	100	100	100	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.42				Dihydrofolate reductase (EC 1.5.1.3)	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic target in susceptible species	20169085\;25288078				
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.42				Dihydrofolate reductase (EC 1.5.1.3)	Drug Target	DrugBank	BLAT	P0ABQ4	Escherichia coli (strain K12)	"""Dihydrofolic Acid;2'-Monophosphoadenosine-5'-Diphosphate;5-Formyl-6-Hydrofolic Acid;2'-Monophosphoadenosine 5'-Diphosphoribose;5,10-Dideazatetrahydrofolic Acid;Urea;1-{[N-(1-IMINO-GUANIDINO-METHYL)]SULFANYLMETHYL}-3-TRIFLUOROMETHYL-BENZENE"""	Drug target		81	100	100	2e-91
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.45				SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)	Virulence Factor	Victors	BLAT	153948384	Yersinia pseudotuberculosis IP 31758			11292689	96	97	82	1e-124
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.46				4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	Drug Target	DrugBank	BLAT	P19624	Escherichia coli (strain K12)	4-Hydroxy-L-Threonine-5-Monophosphate	Drug target		100	100	100	1e-189
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.47				Periplasmic chaperone and peptidyl-prolyl cis-trans isomerase of outer membrane proteins SurA (EC 5.2.1.8)	Virulence Factor	PATRIC_VF	BLAT	SF0050	Shigella flexneri 2a str. 301		Chaperone	17526712	100	100	100	1e-244
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.47				Periplasmic chaperone and peptidyl-prolyl cis-trans isomerase of outer membrane proteins SurA (EC 5.2.1.8)	Virulence Factor	Victors	BLAT	110804119	"Shigella flexneri 5 str. 8401 "			20447864	100	100	100	1e-244
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.48				LPS-assembly protein LptD @ Organic solvent tolerance protein precursor	Transporter	TCDB	BLAT	P31554	Escherichia coli (strain K12)	the outer membrane lipopolysaccharide export porin (lps-ep) family.	1.B.42.1.2	15919996;16738553;18375759;7610040;9278503	100	100	100	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.50				Uncharacterized protein YabP	Virulence Factor	VFDB	BLAT	VFG034895	Escherichia coli O157:H7 str. EDL933				88	76	87	6e-98
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.58				Arabinose operon regulatory protein AraC	Drug Target	DrugBank	BLAT	P0A9E0	Escherichia coli (strain K12)	Alpha-L-Arabinose;Beta-D-Fucose	Drug target		98	100	100	1e-175
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.60				Thiamin ABC transporter, ATPase component	Transporter	TCDB	BLAT	P31548	Escherichia coli	the atp-binding cassette (abc) superfamily.	3.A.1.19.1	12175925;12664169;15919996;1630901;16738553;9278503;9535878	100	100	100	1e-127
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.61				Thiamin ABC transporter, transmembrane component	Transporter	TCDB	BLAT	P31549	Escherichia coli	the atp-binding cassette (abc) superfamily.	3.A.1.19.1	12175925;12664169;15919996;1630901;16738553;9278503;9535878	100	100	100	1e-312
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.62				Thiamin ABC transporter, substrate-binding component	Transporter	TCDB	BLAT	P31550	Escherichia coli	the atp-binding cassette (abc) superfamily.	3.A.1.19.1	12175925;12664169;15919996;1630901;16738553;9278503;9535878	100	100	100	1e-193
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.65				Sugar efflux transporter A	Transporter	TCDB	BLAT	P31675	Escherichia coli	the major facilitator superfamily (mfs).	2.A.1.20.1	10209755;10438463;15919996;1630901;16397293;16738553;9278503	100	100	100	1e-223
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.71				LysR family transcriptional activator LeuO	Antibiotic Resistance	CARD	BLAT	NP_414618.4	Escherichia coli str. K-12 substr. MG1655		gene modulating antibiotic efflux;sulfonamide resistance gene		100	100	100	1e-182
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.71				LysR family transcriptional activator LeuO	Virulence Factor	PATRIC_VF	BLAT	SL1344_0115	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		Virulence	15182677	95	95	89	1e-157
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.71				LysR family transcriptional activator LeuO	Virulence Factor	Victors	BLAT	16763505	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2			15182677	95	95	89	1e-157
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.79				Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	Drug Target	DrugBank	BLAT	P0AD68	Escherichia coli (strain K12)	Cefmenoxime;Cefmetazole;Ertapenem;Cefpiramide;Ceftazidime;Cefazolin;Cefonicid;Cefoperazone;Cefoxitin;Ceftizoxime;Cefepime;Ceftibuten;Cefpodoxime;Ceftobiprole	Drug target		100	100	100	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.79				Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	Drug Target	TTD	BLAT	TTDS00212					100	100	100	0.0
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.80				UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)	Drug Target	DrugBank	BLAT	P22188	Escherichia coli (strain K12)	"""Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate;2,6-Diaminopimelic Acid;Lysine Nz-Carboxylic Acid"""	Drug target		100	100	100	1e-292
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.82				Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	Transporter	TCDB	BLAT	P0A6W3	Escherichia coli (strain K12)	the putative undecaprenyl-phosphate n-acetylglucosaminyl transferase (murg) family.	9.B.146.1.6		100	100	100	1e-210
