genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.1			Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	Aspartokinase (EC 2.7.2.4)	Metabolism	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	"Diaminopimelate Synthesis "
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.1			Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	Aspartokinase (EC 2.7.2.4)	Metabolism	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Aspartate to Homoserine module
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.1			Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	Aspartokinase (EC 2.7.2.4)	Metabolism	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Aspartate to Threonine Module
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.1			Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	Aspartokinase (EC 2.7.2.4)	Metabolism	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine DAP biosynthetic pathway
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.1			Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	Aspartokinase (EC 2.7.2.4)		Clustering-based subsystems	Lysine Biosynthesis	Peptidase clustering with DAP
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.1			Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	Homoserine dehydrogenase (EC 1.1.1.3)	Metabolism	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Aspartate to Homoserine module
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.1			Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	Homoserine dehydrogenase (EC 1.1.1.3)	Metabolism	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Aspartate to Threonine Module
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.2			Homoserine kinase (EC 2.7.1.39)	Homoserine kinase (EC 2.7.1.39)	Metabolism	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Aspartate to Threonine Module
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.3			Threonine synthase (EC 4.2.3.1)	Threonine synthase (EC 4.2.3.1)	Metabolism	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Aspartate to Threonine Module
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.3			Threonine synthase (EC 4.2.3.1)	Threonine synthase (EC 4.2.3.1)		Clustering-based subsystems	Clustering-based subsystems	Threonine synthase cluster
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.7			Transaldolase (EC 2.2.1.2)	Transaldolase (EC 2.2.1.2)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.8			Molybdopterin adenylyltransferase (EC 2.7.7.75)	Molybdopterin adenylyltransferase (EC 2.7.7.75)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Folate and pterines	Molybdenum cofactor biosynthesis
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.12			Chaperone protein DnaK	Chaperone protein DnaK	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein folding	Chaperones GroEL GroES and Thermosome
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.12			Chaperone protein DnaK	Chaperone protein DnaK	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response: Heat/cold shock	Heat shock dnaK gene cluster extended
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.12			Chaperone protein DnaK	Chaperone protein DnaK	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein folding	Protein chaperones
83333.84	Escherichia coli K-12 ER3413	fig|83333.84.peg.13			Chaperone protein DnaJ	Chaperone protein DnaJ	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein folding	Chaperones GroEL GroES and Thermosome
