genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.4	C2566_00020			Inner membrane protein translocase and chaperone YidC, long form	Transporter	TCDB	BLAT	P25714	Escherichia coli	the membrane protein insertase (yidc/alb3/oxa1) family.	2.A.9.3.1	10675323;10949305;11821429;12068816;12724529;12950181;14506280;16079137;16738553;2415431;7686882;9278503;9804807	100	100	99	0.0
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.8	C2566_00040			Low affinity tryptophan permease	Transporter	TCDB	BLAT	P23173	Escherichia coli	the hydroxy/aromatic amino acid permease (haaap) family.	2.A.42.1.3	15919996;16738553;2022620;6268608;7686882;9278503	100	100	99	1e-242
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.9	C2566_00045			Multidrug efflux pump MdtL (of MFS type)	Antibiotic Resistance	CARD	BLAT	AAC76733.1	Escherichia coli str. K-12 substr. MG1655		efflux pump conferring antibiotic resistance		100	100	99	1e-219
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.9	C2566_00045			Multidrug efflux pump MdtL (of MFS type)	Antibiotic Resistance	PATRIC	K-mer Search				efflux pump conferring antibiotic resistance	11566977				
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.9	C2566_00045			Multidrug efflux pump MdtL (of MFS type)	Transporter	TCDB	BLAT	P31462	Escherichia coli	the major facilitator superfamily (mfs).	2.A.1.2.22	11566977;15919996;16738553;7686882;9278503	100	100	99	1e-219
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.13	C2566_00065			Adenine permease AdeP	Transporter	TCDB	BLAT	P31466	Escherichia coli (strain K12)	the nucleobase/ascorbate transporter (nat) or nucleobase:cation symporter-2 (ncs2) family.	2.A.40.7.6	15919996;16738553;6198438;7686882;8165228;9278503	100	100	99	1e-249
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.19	C2566_00095			Cryptic outer membrane porin BglH	Transporter	TCDB	BLAT	P26218	Escherichia coli	the sugar porin (sp) family.	1.B.3.1.3	10027967;16738553;3034860;7686882;9278503;9426150	100	100	99	0.0
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.21	C2566_00105			PTS system, beta-glucoside-specific IIB component / PTS system, beta-glucoside-specific IIC component / PTS system, beta-glucoside-specific IIA component	Transporter	TCDB	BLAT	P08722	Escherichia coli	the pts glucose-glucoside (glc) family.	4.A.1.2.2	15919996;16738553;3034860;3309161;7686882;9278503	100	100	99	0.0
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.23	C2566_00115			Phosphate transport system regulatory protein PhoU	Virulence Factor	PATRIC_VF	BLAT	c4648	Escherichia coli CFT073		Virulence	12180926	100	100	99	1e-133
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.23	C2566_00115			Phosphate transport system regulatory protein PhoU	Virulence Factor	Victors	BLAT	161486057	Escherichia coli CFT073			12180926	100	100	99	1e-133
