genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.1	C2566_00005	rpmH	LSU ribosomal protein L34p	LSU ribosomal protein L34p	Protein Processing	Protein Synthesis	Ribosome biogenesis	Ribosomal proteins, single-copy
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.1	C2566_00005	rpmH	LSU ribosomal protein L34p	LSU ribosomal protein L34p	Protein Processing	Protein Synthesis	Ribosome biogenesis	Ribosome LSU, bacterial
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.5	C2566_00025	trmE	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	RNA Processing	RNA Processing	RNA processing and modification	5-methylaminomethyl-2-thiouridine
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.5	C2566_00025	trmE	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	Protein Processing	Protein Synthesis		Universal GTPases
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.15	C2566_00075		Predicted inner membrane protein CbrB	Predicted inner membrane protein CbrB		Secondary Metabolism	Ribosomally-synthesized post-translationally modified peptides (RiPPs)	Tolerance to colicin E2 and CreBC signal transduction system
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.16	C2566_00080		Colicin E2 tolerance protein CbrC-like protein => CbrC	Colicin E2 tolerance protein CbrC-like protein => CbrC		Secondary Metabolism	Ribosomally-synthesized post-translationally modified peptides (RiPPs)	Tolerance to colicin E2 and CreBC signal transduction system
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.23	C2566_00115		Phosphate transport system regulatory protein PhoU	Phosphate transport system regulatory protein PhoU	Metabolism	Phosphate Metabolism		High affinity phosphate transporter and control of PHO regulon
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.24	C2566_00120		Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	Metabolism	Phosphate Metabolism		High affinity phosphate transporter and control of PHO regulon
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.25	C2566_00125	pstA	Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	Metabolism	Phosphate Metabolism		High affinity phosphate transporter and control of PHO regulon
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.26	C2566_00130	pstC	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	Metabolism	Phosphate Metabolism		High affinity phosphate transporter and control of PHO regulon
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.27	C2566_00135		Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	Metabolism	Phosphate Metabolism		High affinity phosphate transporter and control of PHO regulon
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.30	C2566_00150	atpC	ATP synthase epsilon chain (EC 3.6.3.14)	ATP synthase epsilon chain (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.31	C2566_00155		ATP synthase beta chain (EC 3.6.3.14)	ATP synthase beta chain (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.32	C2566_00160		ATP synthase gamma chain (EC 3.6.3.14)	ATP synthase gamma chain (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.33	C2566_00165		ATP synthase alpha chain (EC 3.6.3.14)	ATP synthase alpha chain (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.34	C2566_00170		ATP synthase delta chain (EC 3.6.3.14)	ATP synthase delta chain (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.35	C2566_00175		ATP synthase F0 sector subunit b (EC 3.6.3.14)	ATP synthase F0 sector subunit b (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.36	C2566_00180		ATP synthase F0 sector subunit c (EC 3.6.3.14)	ATP synthase F0 sector subunit c (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.37	C2566_00185		ATP synthase F0 sector subunit a (EC 3.6.3.14)	ATP synthase F0 sector subunit a (EC 3.6.3.14)	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.38	C2566_00190		ATP synthase protein I	ATP synthase protein I	Energy	Respiration	ATP synthases	F0F1-type ATP synthase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.40	C2566_00200	gidA	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG	RNA Processing	RNA Processing	RNA processing and modification	5-methylaminomethyl-2-thiouridine
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.43	C2566_00215		Aspartate--ammonia ligase (EC 6.3.1.1)	Aspartate--ammonia ligase (EC 6.3.1.1)	Protein Processing	Protein Synthesis	Aminoacyl-tRNA-synthetases	tRNA aminoacylation, Asn
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.63	C2566_00340		Acetolactate synthase large subunit (EC 2.2.1.6)	Acetolactate synthase large subunit (EC 2.2.1.6)	Energy	Energy and Precursor Metabolites Generation	Fermentation	Acetolactate synthase subunits
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.63	C2566_00340		Acetolactate synthase large subunit (EC 2.2.1.6)	Acetolactate synthase large subunit (EC 2.2.1.6)	Metabolism	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.64	C2566_00345	ilvM	Acetolactate synthase small subunit (EC 2.2.1.6)	Acetolactate synthase small subunit (EC 2.2.1.6)	Energy	Energy and Precursor Metabolites Generation	Fermentation	Acetolactate synthase subunits
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.64	C2566_00345	ilvM	Acetolactate synthase small subunit (EC 2.2.1.6)	Acetolactate synthase small subunit (EC 2.2.1.6)	Metabolism	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.65	C2566_00350		Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Metabolism	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.65	C2566_00350		Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pyruvate Alanine Serine Interconversions
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.66	C2566_00355		Dihydroxy-acid dehydratase (EC 4.2.1.9)	Dihydroxy-acid dehydratase (EC 4.2.1.9)	Metabolism	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.67	C2566_00360		Threonine dehydratase biosynthetic (EC 4.3.1.19)	Threonine dehydratase biosynthetic (EC 4.3.1.19)	Metabolism	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.69	C2566_00370		Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	Metabolism	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.69	C2566_00370		Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Coenzyme A	Coenzyme A Biosynthesis cluster
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.70	C2566_00375		Peptidyl-prolyl cis-trans isomerase PpiC (EC 5.2.1.8)	Peptidyl-prolyl cis-trans isomerase PpiC (EC 5.2.1.8)	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein folding	Peptidyl-prolyl cis-trans isomerase
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.72	C2566_00385		ATP-dependent DNA helicase Rep	ATP-dependent DNA helicase Rep	DNA Processing	DNA Processing	DNA repair	DNA repair, bacterial UvrD and related helicases
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.73	C2566_00390		Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) @ Exopolyphosphatase (EC 3.6.1.11)	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40)	Regulation And Cell Signaling	Regulation and Cell signaling		Stringent Response, (p)ppGpp metabolism
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.74	C2566_00395		ATP-dependent RNA helicase RhlB	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	RNA Processing	RNA Processing	RNA processing and modification	ATP-dependent RNA helicases, bacterial
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.77	C2566_00410	rho	Transcription termination factor Rho	Transcription termination factor Rho	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in transcription
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.79	C2566_00420		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)	Cell Envelope	Cell Envelope, Capsule and Slime layer	Gram-Negative (Diderm) cell wall components	Enterobacterial common antigen (LPS O-antigen)
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.80	C2566_00425		Lipopolysaccharide biosynthesis protein WzzE	Lipopolysaccharide biosynthesis protein WzzE	Cell Envelope	Cell Envelope, Capsule and Slime layer	Gram-Negative (Diderm) cell wall components	Enterobacterial common antigen (LPS O-antigen)
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.81	C2566_00430		UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	Cell Envelope	Cell Envelope, Capsule and Slime layer	Gram-Negative (Diderm) cell wall components	Enterobacterial common antigen (LPS O-antigen)
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.82	C2566_00435	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336)	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336)	Cell Envelope	Cell Envelope, Capsule and Slime layer	Gram-Negative (Diderm) cell wall components	Enterobacterial common antigen (LPS O-antigen)
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.83	C2566_00440		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	Cell Envelope	Cell Envelope, Capsule and Slime layer	Gram-Negative (Diderm) cell wall components	Enterobacterial common antigen (LPS O-antigen)
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.83	C2566_00440		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	Cell Envelope	Cell Envelope, Capsule and Slime layer	Capsule and Slime layer	dTDP-rhamnose synthesis
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.84	C2566_00445		Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Cell Envelope	Cell Envelope, Capsule and Slime layer	Gram-Negative (Diderm) cell wall components	Enterobacterial common antigen (LPS O-antigen)
37762.5	Escherichia coli B strain C2566	fig|37762.5.peg.84	C2566_00445		Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Cell Envelope	Cell Envelope, Capsule and Slime layer	Capsule and Slime layer	dTDP-rhamnose synthesis
