genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.1	C2566_00005			607	747	+	141	rpmH	LSU ribosomal protein L34p	FIG00000471	PLF_561_00002716	PGF_00016418			
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.2	C2566_00010			764	1123	+	360	rnpA	Ribonuclease P protein component (EC 3.1.26.5)	FIG00092649	PLF_561_00002668	PGF_08424570	GO:0004526|ribonuclease P activity	3.1.26.5|Ribonuclease P	
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.3	C2566_00015			1087	1344	+	258		Membrane protein insertion efficiency factor YidD	FIG00004843	PLF_561_00012939	PGF_03751658			
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.4	C2566_00020			1347	2993	+	1647		Inner membrane protein translocase and chaperone YidC, long form	FIG00002818	PLF_561_00001432	PGF_03751973			
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.5	C2566_00025			3099	4463	+	1365	trmE	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	FIG00000279	PLF_561_00002093	PGF_00007057			
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.7	C2566_00035			5001	6416	+	1416	tnaA	Tryptophanase (EC 4.1.99.1)	FIG00003029	PLF_561_00001915	PGF_03720595	GO:0009034|tryptophanase activity	4.1.99.1|Tryptophanase	00380|Tryptophan metabolism
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.8	C2566_00040			6507	7754	+	1248		Low affinity tryptophan permease	FIG00554694	PLF_561_00000701	PGF_00017599			
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.9	C2566_00045			7886	9061	+	1176		Multidrug efflux pump MdtL (of MFS type)	FIG00453115	PLF_561_00001293	PGF_07136954			
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.10	C2566_00050			9036	9995	+	960		Transcriptional regulator YidZ, LysR family	FIG01309737	PLF_561_00001762	PGF_00039449			
37762.5	Escherichia coli B strain C2566	CP014268	PATRIC	CDS	fig|37762.5.peg.11	C2566_00055			10152	10901	+	750		Uncharacterized protein YieE	FIG01069060	PLF_561_00004858	PGF_00314131			
