genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.1		VBIEscCol313225_0001		1	1125	-	1125		Inner membrane transport permease YhhJ	FIG00638119					
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	source					1	142574	+	142574								
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.2		VBIEscCol313225_0002		1125	3860	-	2736		Ribosome-associated ATPase RbbA	FIG00001785	PLF_561_00000710	PGF_00008593			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.3		VBIEscCol313225_0003		3857	4924	-	1068		HlyD-like membrane fusion protein YhiI	FIG01056920	PLF_561_00002945	PGF_02746237			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.4		VBIEscCol313225_0004		4987	5100	-	114		hypothetical protein	FIG00638284	PLF_561_00003980	PGF_00213867			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.5		VBIEscCol313225_0005		5645	6709	+	1065		Inner membrane protein YhiM	FIG00638241	PLF_561_00002540	PGF_00128906			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.6		VBIEscCol313225_0006		6796	7989	-	1194		Uncharacterized protein YhiN	FIG01045177	PLF_561_00003893	PGF_00000939			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.7		VBIEscCol313225_0007		8221	9720	+	1500		Low-affinity inorganic phosphate transporter	FIG00002819	PLF_561_00000025	PGF_00017613			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.8		VBIEscCol313225_0008		9791	10072	-	282		Universal stress protein B	FIG00002192	PLF_561_00002450	PGF_00065937			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.9		VBIEscCol313225_0009		10517	10951	+	435		Universal stress protein A	FIG00002191	PLF_561_00002537	PGF_00065934			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.10		VBIEscCol313225_0010		11268	12737	+	1470		Di-tripeptide/H+ symporter DtpB	FIG00068256	PLF_561_00000959	PGF_00423022			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.11		VBIEscCol313225_0011		12786	13538	-	753		16S rRNA (guanine(1516)-N(2))-methyltransferase (EC 2.1.1.242)	FIG00638284	PLF_561_00002976	PGF_00008510		2.1.1.242|16S rRNA (guanine(1516)-N(2))-methyltransferase	
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.12		VBIEscCol313225_0012		13546	15588	-	2043		Oligopeptidase A (EC 3.4.24.70)	FIG00002216	PLF_561_00002836	PGF_00026904		3.4.24.70|Oligopeptidase A	
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.13		VBIEscCol313225_0013		15791	16633	+	843		23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)	FIG00002035	PLF_561_00001940	PGF_04557396		2.1.1.266|23S rRNA (adenine(2030)-N(6))-methyltransferase	
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.14		VBIEscCol313225_0014		16705	18057	+	1353		Glutathione reductase (EC 1.8.1.7)	FIG00000841	PLF_561_00000331	PGF_08199696	GO:0004362|glutathione-disulfide reductase activity	1.8.1.7|Glutathione-disulfide reductase	00480|Glutathione metabolism
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.15		VBIEscCol313225_0015		18111	18227	-	117		hypothetical protein	FIG00638284	PLF_561_00000430	PGF_12665382			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.16		VBIEscCol313225_0016		18529	18954	+	426		Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family	FIG00000770	PLF_561_00000321	PGF_08060212	GO:0008794|arsenate reductase (glutaredoxin) activity	1.20.4.1|Arsenate reductase (glutaredoxin)	
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.17		VBIEscCol313225_0017		20137	20703	+	567		Starvation lipoprotein Slp	FIG00007459	PLF_561_00002601	PGF_00054153			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.18		VBIEscCol313225_0018		20883	21386	+	504		Transcriptional regulator DctR, LuxR family	FIG00003845	PLF_561_00002873	PGF_00010716			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.19		VBIEscCol313225_0019		21443	22471	-	1029		Hemin transport protein HmuS	FIG00009338	PLF_561_00004193	PGF_00011424			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.20		VBIEscCol313225_0020		22520	24502	-	1983		TonB-dependent hemin, ferrichrome receptor	FIG00001878	PLF_561_00004190	PGF_09526797			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.21		VBIEscCol313225_0021		24871	25032	+	162		hypothetical protein	FIG00638893	PLF_561_00005231	PGF_01645366			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.22		VBIEscCol313225_0022		25267	26100	+	834		Periplasmic hemin-binding protein	FIG00001610	PLF_561_00004216	PGF_03326931			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.23		VBIEscCol313225_0023		26198	27457	+	1260		Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	FIG00132601	PLF_561_00004222	PGF_00047020			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.24		VBIEscCol313225_0024		27470	27964	+	495		Putative heme iron utilization protein	FIG00132844	PLF_561_00004223	PGF_00041275			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.25		VBIEscCol313225_0025		27964	28587	+	624		Flavin reductase (EC 1.5.1.30)	FIG00138908	PLF_561_00004221	PGF_00005673		1.5.1.30|Flavin reductase (NADPH)	00740|Riboflavin metabolism
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.26		VBIEscCol313225_0026		28672	29628	+	957		Hemin ABC transporter, permease protein	FIG00894640	PLF_561_00004208	PGF_07808892			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.27		VBIEscCol313225_0027		29625	30395	+	771		ABC-type hemin transport system, ATPase component	FIG00020306	PLF_561_00004207	PGF_07402355			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.28		VBIEscCol313225_0028		30447	31022	-	576		Putative magnesium transporter YhiD	FIG00007410	PLF_561_00000460	PGF_02909040			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.29		VBIEscCol313225_0029		31158	31496	-	339		Chaperone HdeB	FIG00006358	PLF_561_00003010	PGF_00417423			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.30		VBIEscCol313225_0030		31600	31932	-	333		Chaperone HdeA	FIG00006742	PLF_561_00003031	PGF_00417422			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.31		VBIEscCol313225_0031		32187	32759	+	573		Membrane transporter HdeD, H-NS repressed	FIG00006237	PLF_561_00003174	PGF_00020118			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.32		VBIEscCol313225_0032		33558	34085	+	528		Transcriptional activator GadE	FIG00006380	PLF_561_00003078	PGF_00057508			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.33		VBIEscCol313225_0033		34402	34518	-	117		hypothetical protein	FIG00637886	PLF_561_00003574	PGF_00281580			
562.2286	Escherichia coli GSK202U	AXOB01000001	PATRIC	CDS	fig|562.2286.peg.34		VBIEscCol313225_0034		34517	35581	+	1065		Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE	FIG01304998	PLF_561_00003183	PGF_00023215			
